"x" "F"
"187" -0.14 0.395002
"188" -0.13 0.402353
"189" -0.12 0.409737
"190" -0.11 0.417152
"191" -0.1 0.424594
"192" -0.09 0.432062
"193" -0.08 0.439552
"194" -0.07 0.447063
"195" -0.06 0.454592
"196" -0.05 0.462137
"197" -0.04 0.469694
"198" -0.03 0.477261
"199" -0.02 0.484837
"200" -0.01 0.492417
"201" 0 0.5
"202" 0.01 0.507583
"203" 0.02 0.515163
"204" 0.03 0.522739
"205" 0.04 0.530306
"206" 0.05 0.537863
"207" 0.06 0.545408
"208" 0.07 0.552937
"209" 0.08 0.560448
"210" 0.09 0.567938
"211" 0.1 0.575406
"212" 0.11 0.582848
"213" 0.12 0.590263
"214" 0.13 0.597647
"215" 0.14 0.604998
"216" 0.15 0.612314
"217" 0.16 0.619593
"218" 0.17 0.626832
"219" 0.18 0.634029
"220" 0.19 0.641182
"221" 0.2 0.648289
"222" 0.21 0.655347
"223" 0.22 0.662354
"224" 0.23 0.669309
"225" 0.24 0.676208
"226" 0.25 0.683052
"227" 0.26 0.689836
"228" 0.27 0.69656
"229" 0.28 0.703222
"230" 0.29 0.70982
"231" 0.3 0.716352
"232" 0.31 0.722817
"233" 0.32 0.729213
"234" 0.33 0.735538
"235" 0.34 0.741792
"236" 0.35 0.747972
"237" 0.36 0.754077
"238" 0.37 0.760107
"239" 0.38 0.766059
"240" 0.39 0.771933
"241" 0.4 0.777728
"242" 0.41 0.783442
"243" 0.42 0.789075
"244" 0.43 0.794626
"245" 0.44 0.800094
"246" 0.45 0.805477
"247" 0.46 0.810776
"248" 0.47 0.815991
"249" 0.48 0.821119
"250" 0.49 0.826161
"251" 0.5 0.831117
"252" 0.51 0.835985
"253" 0.52 0.840766
"254" 0.53 0.84546
"255" 0.54 0.850066
"256" 0.55 0.854584
"257" 0.56 0.859014
"258" 0.57 0.863357
"259" 0.58 0.867612
"260" 0.59 0.871779
"261" 0.6 0.875858
"262" 0.61 0.879851
"263" 0.62 0.883756
"264" 0.63 0.887575
"265" 0.64 0.891308
"266" 0.65 0.894955
"267" 0.66 0.898517
"268" 0.67 0.901994
"269" 0.68 0.905388
"270" 0.69 0.908698
"271" 0.7 0.911925
"272" 0.71 0.915071
"273" 0.72 0.918136
"274" 0.73 0.92112
"275" 0.74 0.924025
"276" 0.75 0.926852
"277" 0.76 0.929601
"278" 0.77 0.932273
"279" 0.78 0.93487
"280" 0.79 0.937392
"281" 0.8 0.939841
"282" 0.81 0.942218
"283" 0.82 0.944523
"284" 0.83 0.946759
"285" 0.84 0.948925
"286" 0.85 0.951024
"287" 0.86 0.953056
"288" 0.87 0.955023
"289" 0.88 0.956926
"290" 0.89 0.958766
"291" 0.9 0.960544
"292" 0.91 0.962262
"293" 0.92 0.963921
"294" 0.93 0.965522
"295" 0.94 0.967067
"296" 0.95 0.968556
"297" 0.96 0.969992
"298" 0.97 0.971375
"299" 0.98 0.972706
"300" 0.99 0.973988
"301" 1 0.975221
"302" 1.01 0.976406
"303" 1.02 0.977545
"304" 1.03 0.978639
"305" 1.04 0.979689
"306" 1.05 0.980697
"307" 1.06 0.981664
"308" 1.07 0.98259
"309" 1.08 0.983478
"310" 1.09 0.984328
"311" 1.1 0.985142
"312" 1.11 0.98592
"313" 1.12 0.986665
"314" 1.13 0.987376
"315" 1.14 0.988055
"316" 1.15 0.988703
"317" 1.16 0.989322
"318" 1.17 0.989912
"319" 1.18 0.990474
"320" 1.19 0.99101
"321" 1.2 0.99152
"322" 1.21 0.992005
"323" 1.22 0.992466
"324" 1.23 0.992905
"325" 1.24 0.993321
"326" 1.25 0.993717
"327" 1.26 0.994092
"328" 1.27 0.994448
"329" 1.28 0.994785
"330" 1.29 0.995105
"331" 1.3 0.995407
"332" 1.31 0.995693
"333" 1.32 0.995964
"334" 1.33 0.99622
"335" 1.34 0.996461
"336" 1.35 0.996689
"337" 1.36 0.996904
"338" 1.37 0.997107
"339" 1.38 0.997298
"340" 1.39 0.997478
"341" 1.4 0.997648
"342" 1.41 0.997807
"343" 1.42 0.997957
"344" 1.43 0.998097
"345" 1.44 0.998229
"346" 1.45 0.998353
"347" 1.46 0.998469
"348" 1.47 0.998578
"349" 1.48 0.99868
"350" 1.49 0.998775
"351" 1.5 0.998864
"352" 1.51 0.998948
"353" 1.52 0.999025
"354" 1.53 0.999098
"355" 1.54 0.999166
"356" 1.55 0.999229
"357" 1.56 0.999288
"358" 1.57 0.999343
"359" 1.58 0.999394
"360" 1.59 0.999441
"361" 1.6 0.999485
"362" 1.61 0.999526
"363" 1.62 0.999564
"364" 1.63 0.999599
"365" 1.64 0.999631
"366" 1.65 0.999662
"367" 1.66 0.999689
"368" 1.67 0.999715
"369" 1.68 0.999739
"370" 1.69 0.999761
"371" 1.7 0.999781
"372" 1.71 0.9998
"373" 1.72 0.999817
"374" 1.73 0.999833
"375" 1.74 0.999848
"376" 1.75 0.999861
"377" 1.76 0.999873
"378" 1.77 0.999885
"379" 1.78 0.999895
"380" 1.79 0.999905
"381" 1.8 0.999913
"382" 1.81 0.999921
"383" 1.82 0.999929
"384" 1.83 0.999935
"385" 1.84 0.999941
"386" 1.85 0.999947
"387" 1.86 0.999952
"388" 1.87 0.999957
"389" 1.88 0.999961
"390" 1.89 0.999965
"391" 1.9 0.999968
"392" 1.91 0.999971
"393" 1.92 0.999974
"394" 1.93 0.999977
"395" 1.94 0.999979
"396" 1.95 0.999981
"397" 1.96 0.999983
"398" 1.97 0.999985
"399" 1.98 0.999986
"400" 1.99 0.999988
"401" 2 0.999989
