"Stryn";1.7
"Molde";1.2
"Ålesund";1.0
"Kristiansund";0.8
"Vanylven";1.8
"Sande (M. og R.)";2.4
"Herøy (M. og R.)";1.6
"Ulstein";1.7
"Hareid";1.7
"Volda";1.5
"Ørsta";1.2
"Ørskog";1.4
"Norddal";1.3
"Stranda";1.3
"Stordal";1.4
"Sykkylven";1.9
"Skodje";1.1
"Sula";0.8
"Giske";1.4
"Haram";1.5
"Vestnes";0.9
"Rauma";1.0
"Nesset";1.1
"Midsund";1.1
"Sandøy";2.2
"Aukra";1.4
"Fræna";1.3
"Eide";1.4
"Averøy";1.2
"Gjemnes";1.9
"Tingvoll";1.2
"Sunndal";1.2
"Surnadal";1.3
"Rindal";1.0
"Halsa";1.5
"Smøla";1.2
"Aure";1.5
"Trondheim";0.7
"Hemne";1.6
"Snillfjord";1.4
"Hitra";0.6
"Frøya";0.3
"Ørland";0.8
"Agdenes";1.7
"Rissa";1.3
"Bjugn";1.0
"Åfjord";1.7
"Roan";1.8
"Osen";1.3
"Oppdal";1.3
"Rennebu";1.8
"Meldal";0.7
"Orkdal";1.0
"Røros";1.4
"Holtålen";1.0
"Midtre Gauldal";1.2
"Melhus";0.9
"Skaun";1.0
"Klæbu";0.8
"Malvik";0.7
"Selbu";1.2
"Tydal";1.0
"Steinkjer";NA
"Namsos";0.9
"Meråker";1.0
"Stjørdal";0.9
"Frosta";1.2
"Leksvik";1.3
"Levanger";1.0
"Verdal";0.6
"Verran";1.1
"Namdalseid";0.7
"Snåase Snåsa";1.2
"Lierne";1.4
"Raarvihke Røyrvik";1.0
"Namsskogan";0.8
"Grong";0.9
"Høylandet";1.4
"Overhalla";0.6
"Fosnes";1.8
"Flatanger";1.6
"Vikna";1.0
"Nærøy";1.7
"Leka";1.8
"Inderøy";1.4
"Bodø";0.9
"Narvik";0.5
"Bindal";1.1
"Sømna";1.4
"Brønnøy";1.3
"Vega";2.4
"Vevelstad";1.9
"Herøy (Nordl.)";1.3
"Alstahaug";1.1
"Leirfjord";0.9
"Vefsn";0.7
"Grane";1.1
"Hattfjelldal";0.5
"Dønna";1.2
"Nesna";1.2
"Hemnes";1.5
"Rana";0.8
"Lurøy";2.0
"Træna";NA
"Rødøy";1.8
"Meløy";0.9
"Gildeskål";1.9
"Beiarn";2.4
"Saltdal";1.1
"Fauske";0.7
"Sørfold";1.3
"Steigen";1.4
"Hábmer Hamarøy";1.1
"Divtasvuodna Tysfjord";0.7
"Lødingen";1.3
"Tjeldsund";1.3
"Evenes";1.5
"Ballangen";0.8
"Røst";4.3
"Værøy";1.9
"Flakstad";1.6
"Vestvågøy";1.2
"Vågan";1.1
"Hadsel";0.8
"Bø (Nordl.)";1.2
"Øksnes";1.0
"Sortland";0.9
"Andøy";1.0
"Moskenes";1.4
"Tromsø";0.8
"Harstad";0.7
"Kvæfjord";0.7
"Skånland";1.2
"Ibestad";1.5
"Gratangen";1.5
"Lavangen";2.0
"Bardu";0.8
"Salangen";1.1
"Målselv";1.0
"Sørreisa";0.8
"Dyrøy";1.77
"Tranøy";1.6
"Torsken";NA
"Berg";1.0
"Lenvik";1.2
"Balsfjord";1.11
"Karlsøy";1.0
"Lyngen";2.1
"Omasvuotna Storfjord Omasvuonon";1.7
"Gáivuotna Kåfjord";2.2
"Skjervøy";NA
"Nordreisa";1.1
"Kvænangen";1.8
"Vardø";0.9
"Vadsø";0.7
"Hammerfest";0.6
"Guovdageaidnu Kautokeino";NA
"Alta";0.9
"Loppa";1.4
"Hasvik";1.5
"Kvalsund";1.8
"Måsøy";1.6
"Nordkapp";0.7
"Porsanger Porsángu Porsanki";1.0
"Kárásjohka Karasjok";2.1
"Lebesby";1.1
"Gamvik";0.9
"Berlevåg";1.5
"Deatnu Tana";1.1
"Unjárga Nesseby";0.9
"Båtsfjord";0.7
"Sør-Varanger";0.6
