"Estimator" "Values" "Distribution" "Details"
"78" "True" 0.0691075131293284 "Beta(2,7)" "K=3, N=50"
"79" "True" 0.0908566273387328 "Beta(2,7)" "K=3, N=50"
"80" "True" 0.0261470652998423 "Beta(2,7)" "K=3, N=50"
"81" "True" 0.0159238451629507 "Beta(2,7)" "K=3, N=50"
"82" "True" 0.0706599971836932 "Beta(2,7)" "K=3, N=50"
"83" "True" 0.124269584163008 "Beta(2,7)" "K=3, N=50"
"84" "True" 0.00497768434967911 "Beta(2,7)" "K=3, N=50"
"85" "True" 0.0083949899165633 "Beta(2,7)" "K=3, N=50"
"86" "True" 0.0522880647592848 "Beta(2,7)" "K=3, N=50"
"87" "True" 0.0299951181269594 "Beta(2,7)" "K=3, N=50"
"88" "True" 0.0681102226054752 "Beta(2,7)" "K=3, N=50"
"89" "True" 0.031573649423561 "Beta(2,7)" "K=3, N=50"
"90" "True" 0.0593737241429199 "Beta(2,7)" "K=3, N=50"
"91" "True" 0.0668578285074461 "Beta(2,7)" "K=3, N=50"
"92" "True" 0.0689102106297666 "Beta(2,7)" "K=3, N=50"
"93" "True" 0.0409989413482738 "Beta(2,7)" "K=3, N=50"
"94" "True" 0.0184766242216144 "Beta(2,7)" "K=3, N=50"
"95" "True" 0.0344213671921162 "Beta(2,7)" "K=3, N=50"
"96" "True" 0.0214706186118714 "Beta(2,7)" "K=3, N=50"
"97" "True" 0.0819898669627372 "Beta(2,7)" "K=3, N=50"
"98" "True" 0.115363299550243 "Beta(2,7)" "K=3, N=50"
"99" "True" 0.0307266561719958 "Beta(2,7)" "K=3, N=50"
"100" "True" 0.045082228195571 "Beta(2,7)" "K=3, N=50"
"101" "True" 0.0349387326542345 "Beta(2,7)" "K=3, N=50"
"102" "True" 0.00631359050092416 "Beta(2,7)" "K=3, N=50"
"103" "True" 0.0396266150167239 "Beta(2,7)" "K=3, N=50"
"104" "True" 0.0428080388872508 "Beta(2,7)" "K=3, N=50"
"105" "True" 0.00615070909532818 "Beta(2,7)" "K=3, N=50"
"106" "True" 0.0273594903223972 "Beta(2,7)" "K=3, N=50"
"107" "True" 0.0267928904036962 "Beta(2,7)" "K=3, N=50"
"108" "True" 0.0659505128212975 "Beta(2,7)" "K=3, N=50"
"109" "True" 0.1091759624452 "Beta(2,7)" "K=3, N=50"
"110" "True" 0.0149658784657077 "Beta(2,7)" "K=3, N=50"
"111" "True" 0.0482484375810662 "Beta(2,7)" "K=3, N=50"
"112" "True" 0.0387985656150116 "Beta(2,7)" "K=3, N=50"
"113" "True" 0.0183774247734071 "Beta(2,7)" "K=3, N=50"
"114" "True" 0.0354121345250772 "Beta(2,7)" "K=3, N=50"
"115" "True" 0.03870238008933 "Beta(2,7)" "K=3, N=50"
"116" "True" 0.0643862359441095 "Beta(2,7)" "K=3, N=50"
"117" "True" 0.115329522479783 "Beta(2,7)" "K=3, N=50"
"118" "True" 0.0553041532255408 "Beta(2,7)" "K=3, N=50"
"119" "True" 0.0471860197203167 "Beta(2,7)" "K=3, N=50"
"120" "True" 0.0408672984102384 "Beta(2,7)" "K=3, N=50"
"121" "True" 0.0560846257460547 "Beta(2,7)" "K=3, N=50"
"122" "True" 0.0677782351822918 "Beta(2,7)" "K=3, N=50"
"123" "True" 0.0241686566350996 "Beta(2,7)" "K=3, N=50"
"124" "True" 0.0214247548667648 "Beta(2,7)" "K=3, N=50"
"125" "True" 0.0560577015108118 "Beta(2,7)" "K=3, N=50"
"126" "True" 0.0748483874749987 "Beta(2,7)" "K=3, N=50"
"127" "True" 0.0676520024768061 "Beta(2,7)" "K=3, N=50"
"128" "True" 0.0387556497497223 "Beta(2,7)" "K=3, N=50"
"129" "True" 0.0781577553666217 "Beta(2,7)" "K=3, N=50"
"130" "True" 0.0925589494093779 "Beta(2,7)" "K=3, N=50"
"131" "True" 0.037696023836301 "Beta(2,7)" "K=3, N=50"
"132" "True" 0.0621360434500858 "Beta(2,7)" "K=3, N=50"
"133" "True" 0.126506001525397 "Beta(2,7)" "K=3, N=50"
"134" "True" 0.0429066257726304 "Beta(2,7)" "K=3, N=50"
"135" "True" 0.0743478147940437 "Beta(2,7)" "K=3, N=50"
"136" "True" 0.0573798530676393 "Beta(2,7)" "K=3, N=50"
"137" "True" 0.023359610559161 "Beta(2,7)" "K=3, N=50"
"138" "True" 0.0395164033839782 "Beta(2,7)" "K=3, N=50"
"139" "True" 0.0640310424288263 "Beta(2,7)" "K=3, N=50"
"140" "True" 0.0419459875436421 "Beta(2,7)" "K=3, N=50"
"141" "True" 0.092014568820025 "Beta(2,7)" "K=3, N=50"
"142" "True" 0.0424797220449024 "Beta(2,7)" "K=3, N=50"
"143" "True" 0.0533187944235816 "Beta(2,7)" "K=3, N=50"
"144" "True" 0.0719229050076432 "Beta(2,7)" "K=3, N=50"
"145" "True" 0.0336551986246553 "Beta(2,7)" "K=3, N=50"
"146" "True" 0.0440716736392729 "Beta(2,7)" "K=3, N=50"
"147" "True" 0.0742455398802425 "Beta(2,7)" "K=3, N=50"
"148" "True" 0.0534699870037639 "Beta(2,7)" "K=3, N=50"
"149" "True" 0.10866763283916 "Beta(2,7)" "K=3, N=50"
"150" "True" 0.0301388726604377 "Beta(2,7)" "K=3, N=50"
"151" "True" 0.0733192892054887 "Beta(2,7)" "K=3, N=50"
"152" "True" 0.0528771790547183 "Beta(2,7)" "K=3, N=50"
"153" "True" 0.070530872731292 "Beta(2,7)" "K=3, N=50"
"154" "True" 0.0536297002309259 "Beta(2,7)" "K=3, N=50"
"155" "True" 0.0138447895679328 "Beta(2,7)" "K=3, N=50"
"156" "True" 0.0678210412750166 "Beta(2,7)" "K=3, N=50"
"157" "True" 0.0269922883948936 "Beta(2,7)" "K=3, N=50"
"158" "True" 0.077574257786037 "Beta(2,7)" "K=3, N=50"
"159" "True" 0.0683746570475982 "Beta(2,7)" "K=3, N=50"
"160" "True" 0.102097966461807 "Beta(2,7)" "K=3, N=50"
"161" "True" 0.0917091770299055 "Beta(2,7)" "K=3, N=50"
"162" "True" 0.0225626050584002 "Beta(2,7)" "K=3, N=50"
"163" "True" 0.0792633778845439 "Beta(2,7)" "K=3, N=50"
"164" "True" 0.0226170931441105 "Beta(2,7)" "K=3, N=50"
"165" "True" 0.0225096848100357 "Beta(2,7)" "K=3, N=50"
"166" "True" 0.0503844577311532 "Beta(2,7)" "K=3, N=50"
"167" "True" 0.0360337224034298 "Beta(2,7)" "K=3, N=50"
"168" "True" 0.0292392146171271 "Beta(2,7)" "K=3, N=50"
"169" "True" 0.0855712961027347 "Beta(2,7)" "K=3, N=50"
"170" "True" 0.0569440126168063 "Beta(2,7)" "K=3, N=50"
"171" "True" 0.0713450520301413 "Beta(2,7)" "K=3, N=50"
"172" "True" 0.0642415720745628 "Beta(2,7)" "K=3, N=50"
"173" "True" 0.0302356089363614 "Beta(2,7)" "K=3, N=50"
"174" "True" 0.0402725001161087 "Beta(2,7)" "K=3, N=50"
"175" "True" 0.0217433887208305 "Beta(2,7)" "K=3, N=50"
"176" "True" 0.136751447306334 "Beta(2,7)" "K=3, N=50"
"177" "True" 0.0141830813288699 "Beta(2,7)" "K=3, N=50"
"178" "True" 0.0796940025621952 "Beta(2,7)" "K=3, N=50"
"179" "True" 0.0362702554694543 "Beta(2,7)" "K=3, N=50"
"180" "True" 0.0365662944960918 "Beta(2,7)" "K=3, N=50"
"181" "True" 0.0164128824576547 "Beta(2,7)" "K=3, N=50"
"182" "True" 0.0261364182324121 "Beta(2,7)" "K=3, N=50"
"183" "True" 0.0465101304725153 "Beta(2,7)" "K=3, N=50"
"184" "True" 0.0487285394295811 "Beta(2,7)" "K=3, N=50"
"185" "True" 0.0212312562940871 "Beta(2,7)" "K=3, N=50"
"186" "True" 0.0469304378739146 "Beta(2,7)" "K=3, N=50"
"187" "True" 0.03726254004956 "Beta(2,7)" "K=3, N=50"
"188" "True" 0.139016667546352 "Beta(2,7)" "K=3, N=50"
"189" "True" 0.0269016371712598 "Beta(2,7)" "K=3, N=50"
"190" "True" 0.108616380285667 "Beta(2,7)" "K=3, N=50"
"191" "True" 0.0483380238354996 "Beta(2,7)" "K=3, N=50"
"192" "True" 0.0256519478872948 "Beta(2,7)" "K=3, N=50"
"193" "True" 0.0344595641644672 "Beta(2,7)" "K=3, N=50"
"194" "True" 0.030532983849252 "Beta(2,7)" "K=3, N=50"
"195" "True" 0.0715344978692908 "Beta(2,7)" "K=3, N=50"
"196" "True" 0.0157455259595782 "Beta(2,7)" "K=3, N=50"
"197" "True" 0.0908455226218326 "Beta(2,7)" "K=3, N=50"
"198" "True" 0.0437327976841024 "Beta(2,7)" "K=3, N=50"
"199" "True" 0.0303824523741761 "Beta(2,7)" "K=3, N=50"
"200" "True" 0.02877433535881 "Beta(2,7)" "K=3, N=50"
"201" "True" 0.041823607826605 "Beta(2,7)" "K=3, N=50"
"202" "True" 0.0236055572252008 "Beta(2,7)" "K=3, N=50"
"203" "True" 0.127667802808753 "Beta(2,7)" "K=3, N=50"
"204" "True" 0.00390417967889055 "Beta(2,7)" "K=3, N=50"
"205" "True" 0.0376489688055438 "Beta(2,7)" "K=3, N=50"
"206" "True" 0.0400874183115908 "Beta(2,7)" "K=3, N=50"
"207" "True" 0.0694240052284618 "Beta(2,7)" "K=3, N=50"
"208" "True" 0.103594129625959 "Beta(2,7)" "K=3, N=50"
"209" "True" 0.0550623666177072 "Beta(2,7)" "K=3, N=50"
"210" "True" 0.0572979124040184 "Beta(2,7)" "K=3, N=50"
"211" "True" 0.0292223779048345 "Beta(2,7)" "K=3, N=50"
"212" "True" 0.030657453813137 "Beta(2,7)" "K=3, N=50"
"213" "True" 0.0569938815439698 "Beta(2,7)" "K=3, N=50"
"214" "True" 0.00307954978364821 "Beta(2,7)" "K=3, N=50"
"215" "True" 0.0234172933113271 "Beta(2,7)" "K=3, N=50"
"216" "True" 0.0459068314801081 "Beta(2,7)" "K=3, N=50"
"217" "True" 0.0426177748210857 "Beta(2,7)" "K=3, N=50"
"218" "True" 0.0160983968118826 "Beta(2,7)" "K=3, N=50"
"219" "True" 0.078693404939051 "Beta(2,7)" "K=3, N=50"
"220" "True" 0.0457106690640737 "Beta(2,7)" "K=3, N=50"
