"Stryn";24.6
"Molde";11.3
"Ålesund";9.4
"Kristiansund";8.1
"Vanylven";32.2
"Sande (M. og R.)";31.5
"Herøy (M. og R.)";14.3
"Ulstein";9.6
"Hareid";14.0
"Volda";17.6
"Ørsta";14.3
"Ørskog";14.8
"Norddal";30.4
"Stranda";25.4
"Stordal";31.6
"Sykkylven";13.1
"Skodje";10.8
"Sula";11.3
"Giske";17.5
"Haram";17.1
"Vestnes";15.4
"Rauma";17.7
"Nesset";19.5
"Midsund";26.1
"Sandøy";34.9
"Aukra";24.5
"Fræna";15.0
"Eide";16.2
"Averøy";17.1
"Gjemnes";21.7
"Tingvoll";19.1
"Sunndal";16.5
"Surnadal";20.6
"Rindal";19.6
"Halsa";19.8
"Smøla";20.5
"Aure";23.1
"Trondheim";11.2
"Hemne";23.0
"Snillfjord";35.6
"Hitra";14.7
"Frøya";16.0
"Ørland";11.0
"Agdenes";28.8
"Rissa";15.1
"Bjugn";13.8
"Åfjord";16.0
"Roan";27.6
"Osen";23.8
"Oppdal";17.7
"Rennebu";31.2
"Meldal";12.9
"Orkdal";12.1
"Røros";18.2
"Holtålen";24.8
"Midtre Gauldal";16.7
"Melhus";11.2
"Skaun";14.3
"Klæbu";12.0
"Malvik";8.4
"Selbu";14.0
"Tydal";32.4
"Steinkjer";NA
"Namsos";9.7
"Meråker";18.8
"Stjørdal";9.5
"Frosta";14.5
"Leksvik";18.3
"Levanger";11.6
"Verdal";10.6
"Verran";18.8
"Namdalseid";16.4
"Snåase Snåsa";23.7
"Lierne";38.7
"Raarvihke Røyrvik";56.8
"Namsskogan";39.2
"Grong";23.3
"Høylandet";21.6
"Overhalla";13.9
"Fosnes";60.3
"Flatanger";48.3
"Vikna";10.3
"Nærøy";21.5
"Leka";36.6
"Inderøy";15.1
"Bodø";10.6
"Narvik";13.9
"Bindal";20.9
"Sømna";22.8
"Brønnøy";19.3
"Vega";39.2
"Vevelstad";70.6
"Herøy (Nordl.)";26.5
"Alstahaug";17.3
"Leirfjord";21.5
"Vefsn";7.3
"Grane";21.3
"Hattfjelldal";15.7
"Dønna";30.6
"Nesna";27.3
"Hemnes";19.0
"Rana";10.2
"Lurøy";42.3
"Træna";NA
"Rødøy";55.9
"Meløy";17.7
"Gildeskål";39.2
"Beiarn";60.5
"Saltdal";18.0
"Fauske";14.0
"Sørfold";27.1
"Steigen";26.7
"Hábmer Hamarøy";23.7
"Divtasvuodna Tysfjord";45.6
"Lødingen";20.8
"Tjeldsund";36.7
"Evenes";33.9
"Ballangen";20.9
"Røst";45.9
"Værøy";44.9
"Flakstad";24.3
"Vestvågøy";16.2
"Vågan";17.0
"Hadsel";14.4
"Bø (Nordl.)";28.0
"Øksnes";16.7
"Sortland";9.4
"Andøy";13.2
"Moskenes";28.0
"Tromsø";8.5
"Harstad";24.2
"Kvæfjord";15.0
"Skånland";25.4
"Ibestad";31.9
"Gratangen";33.4
"Lavangen";36.7
"Bardu";11.3
"Salangen";21.2
"Målselv";19.1
"Sørreisa";16.5
"Dyrøy";48.5
"Tranøy";42.7
"Torsken";NA
"Berg";25.4
"Lenvik";18.5
"Balsfjord";21.9
"Karlsøy";21.8
"Lyngen";27.4
"Omasvuotna Storfjord Omasvuonon";31.1
"Gáivuotna Kåfjord";32.5
"Skjervøy";NA
"Nordreisa";33.4
"Kvænangen";58.7
"Vardø";21.1
"Vadsø";12.8
"Hammerfest";9.0
"Guovdageaidnu Kautokeino";NA
"Alta";16.0
"Loppa";64.7
"Hasvik";49.0
"Kvalsund";48.6
"Måsøy";41.1
"Nordkapp";27.8
"Porsanger Porsángu Porsanki";23.9
"Kárásjohka Karasjok";36.6
"Lebesby";56.6
"Gamvik";43.9
"Berlevåg";38.2
"Deatnu Tana";29.9
"Unjárga Nesseby";30.0
"Båtsfjord";15.2
"Sør-Varanger";10.2
